"URL","Nimi","Kategoria","Lähde","Protokolla","Tila","Koodi","HTTP","Kesto ms","Yrityksiä","Lopullinen URL","Domain vaihtui","Sisältöhuomio"
"http://fredrika.finna.fi/","Fredrikabiblioteken","Paikalliset palvelut","localServices.ts","http","rejected","https_available","200","155","1","https://fredrika.finna.fi/","ei",""
"http://eepos.finna.fi/","Eepos-kirjastot","Paikalliset palvelut","localServices.ts","http","rejected","https_available","200","196","1","https://eepos.finna.fi/","ei",""
"http://kirjasto.kaustinen.fi/","kirjasto.kaustinen.fi","Digiopastus","seniorSurfGuidancePlaces.ts","http","rejected","https_required","","229","1","","ei",""
"http://kirjasto.pieksamaki.fi/","kirjasto.pieksamaki.fi","Digiopastus","seniorSurfGuidancePlaces.ts","http","rejected","https_available","200","240","1","https://kirjasto.pieksamaki.fi/","ei",""
"http://kirjasto.lestijarvi.fi/","kirjasto.lestijarvi.fi","Digiopastus","seniorSurfGuidancePlaces.ts","http","rejected","https_required","","272","1","","ei",""
"http://etela-pohjanmaa.elakeliitto.fi/yhdistykset/lapua/toimintakalenteri/","etela-pohjanmaa.elakeliitto.fi","Digiopastus","seniorSurfGuidancePlaces.ts","http","rejected","https_required","404","333","1","","ei",""
"http://lapinkirjasto.finna.fi/","Lapin kirjasto","Paikalliset palvelut","localServices.ts","http","rejected","https_available","200","238","1","https://lapinkirjasto.finna.fi/","ei",""
"http://seutuopisto.pieksamaki.fi/","seutuopisto.pieksamaki.fi","Digiopastus","seniorSurfGuidancePlaces.ts","http","rejected","https_available","200","95","1","https://seutuopisto.pieksamaki.fi/","ei",""
"http://narpes.spfpension.fi/hem/","narpes.spfpension.fi","Digiopastus","seniorSurfGuidancePlaces.ts","http","rejected","https_available","200","170","1","https://narpes.spfpension.fi/hem/","ei",""
"http://korsholm.spfpension.fi/","korsholm.spfpension.fi","Digiopastus","seniorSurfGuidancePlaces.ts","http","rejected","https_available","200","463","1","https://korsholm.spfpension.fi/","ei",""
"http://terjarv.spfpension.fi/start/","terjarv.spfpension.fi","Digiopastus","seniorSurfGuidancePlaces.ts","http","rejected","https_available","200","87","1","https://terjarv.spfpension.fi/start/","ei",""
"http://milstolpen.spfpension.fi/","milstolpen.spfpension.fi","Digiopastus","seniorSurfGuidancePlaces.ts","http","rejected","https_available","200","257","1","https://milstolpen.spfpension.fi/","ei",""
"http://lestinreuma.reumaliitto.fi/","lestinreuma.reumaliitto.fi","Digiopastus","seniorSurfGuidancePlaces.ts","http","rejected","https_available","200","375","1","https://lestinreuma.reumaliitto.fi/","ei",""
"http://tietotupa.omasivu.fi/tuki-vaaksyn-information-room/","tietotupa.omasivu.fi","Digiopastus","seniorSurfGuidancePlaces.ts","http","rejected","https_available","200","172","1","https://tietotupa.omasivu.fi/tuki-vaaksyn-information-room/","ei",""
"http://vastanfjard.spfpension.fi/start/","vastanfjard.spfpension.fi","Digiopastus","seniorSurfGuidancePlaces.ts","http","rejected","https_available","200","223","1","https://vastanfjard.spfpension.fi/start/","ei",""
"http://www.hameenlinna.fi/pysakki","www.hameenlinna.fi","Digiopastus","seniorSurfGuidancePlaces.ts","http","rejected","https_available","200","149","1","https://www.hameenlinna.fi/pysakki","ei",""
"http://hausjarvi.fi/palvelut/vapaa-aika-kulttuuri/kirjasto/","hausjarvi.fi","Digiopastus","seniorSurfGuidancePlaces.ts","http","rejected","https_available","200","847","1","https://hausjarvi.fi/palvelut/vapaa-aika-kulttuuri/kirjasto/","ei",""
"http://www.ii.fi/kirjasto","www.ii.fi","Digiopastus","seniorSurfGuidancePlaces.ts","http","rejected","https_available","200","93","1","https://www.ii.fi/kirjasto","ei",""
"http://www.hameenkyro.fi/palvelut/elamanlaatu/kirjasto/","www.hameenkyro.fi","Digiopastus","seniorSurfGuidancePlaces.ts","http","rejected","https_required","404","376","1","","ei",""
"http://www.aura.fi/kirjasto/","www.aura.fi","Digiopastus","seniorSurfGuidancePlaces.ts","http","rejected","https_available","200","659","1","https://www.aura.fi/kirjasto/","ei",""
"http://www.kainuunelakelaisetry.fi/kajaani/","www.kainuunelakelaisetry.fi","Digiopastus","seniorSurfGuidancePlaces.ts","http","rejected","https_required","","15","1","","ei",""
"http://tervola.fi/vapaa-aika-ja-liikunta/kirjasto/kirjaston-palvelut/","tervola.fi","Digiopastus","seniorSurfGuidancePlaces.ts","http","rejected","https_available","200","730","1","https://tervola.fi/vapaa-aika-ja-liikunta/kirjasto/kirjaston-palvelut/","ei",""
"http://loppi.fi/palvelut/kulttuuri-ja-vapaa-aika/kirjasto/","loppi.fi","Digiopastus","seniorSurfGuidancePlaces.ts","http","rejected","https_available","200","955","1","https://loppi.fi/palvelut/kulttuuri-ja-vapaa-aika/kirjasto/","ei",""
"http://www.haapajarvi.fi/kirjasto","www.haapajarvi.fi","Digiopastus","seniorSurfGuidancePlaces.ts","http","rejected","https_available","200","735","1","https://www.haapajarvi.fi/kirjasto","ei",""
"http://www.harjavalta.fi/kirjasto","www.harjavalta.fi","Digiopastus","seniorSurfGuidancePlaces.ts","http","rejected","https_available","200","707","1","https://www.harjavalta.fi/kirjasto","ei",""
